Setting,What it is (plain language),When needed (Bring-up / Bring-up (if in scope) / Day-N / Day-N (if in scope) - see prerequisites.md),Example,Your value,Provided by,Notes
"ALL ROWS: Centralized connectivity only","The whole sheet applies only with NSX Centralized connectivity (Edge clusters). The Distributed model needs no BGP peering - leave this sheet empty. The ToR fabric config must be ready before the Edge cluster is deployed (right after bring-up)","Bring-up (if in scope)",,,,intake A10 / H4 decides this
NSX Edge (Tier-0) AS number,"The private BGP AS number the NSX Edges use; announced to the top-of-rack switches",Bring-up (if in scope),65001,,Architect / Platform,intake B12-B14
ToR-A AS number,"AS number of the first top-of-rack switch the Edges peer with",Bring-up (if in scope),65011,,Network / fabric team,
ToR-B AS number,"AS number of the second ToR (same as ToR-A if the fabric is one iBGP domain, else distinct)",Bring-up (if in scope),65011,,Network / fabric team,
Uplink 01 VLAN,"VLAN carrying the Edge-to-ToR-A uplink network",Bring-up (if in scope),1317,,Network,Trunk it at bring-up even though the Edges deploy after
Uplink 02 VLAN,"VLAN carrying the Edge-to-ToR-B uplink network",Bring-up (if in scope),1318,,Network,Trunk it at bring-up even though the Edges deploy after
Edge node 1 - Uplink 01 IP,"Edge node 1 interface IP on uplink 1 (peers with ToR-A)",Day-N (if in scope),10.13.17.2/24,,Architect,
Edge node 1 - Uplink 02 IP,"Edge node 1 interface IP on uplink 2 (peers with ToR-B)",Day-N (if in scope),10.13.18.2/24,,Architect,
Edge node 2 - Uplink 01 IP,"Edge node 2 interface IP on uplink 1 (peers with ToR-A)",Day-N (if in scope),10.13.17.3/24,,Architect,
Edge node 2 - Uplink 02 IP,"Edge node 2 interface IP on uplink 2 (peers with ToR-B)",Day-N (if in scope),10.13.18.3/24,,Architect,
ToR-A peer (neighbor) IP,"The BGP neighbor address on ToR-A that the Edges connect to (usually the uplink-01 gateway)",Bring-up (if in scope),10.13.17.1,,Network,
ToR-B peer (neighbor) IP,"The BGP neighbor address on ToR-B (usually the uplink-02 gateway)",Bring-up (if in scope),10.13.18.1,,Network,
BFD,"Fast (sub-second) failure detection on the peerings - recommended",Bring-up (if in scope),Yes,,Network,
ECMP,"Equal-cost multipath across the Edge-to-ToR uplinks - required",Bring-up (if in scope),Yes,,Network,
BGP MD5 password,"OPTIONAL peer authentication - only fill in if BGP authentication is being used",Bring-up (if in scope),(leave blank if not used),,Network,Not required by NSX (neighbor IP + AS are the only required settings)
Keepalive / Hold timers,"BGP timers - use the fabric standard, else the defaults",Bring-up (if in scope),60 / 180 sec,,Network,
Routes advertised by NSX,"What the Edges announce to the fabric",Day-N (if in scope),Tier-0 connected + overlay/segment subnets,,Architect,
Routes received from ToR,"What the fabric announces to NSX (typically just a default route)",Bring-up (if in scope),0.0.0.0/0 (default route),,Network,
(stretched) AZ2 ToR-A AS + peer IP,"Per-AZ ToR-A peering for the second availability zone",Bring-up (if in scope),65021 / 10.23.17.1,,Network,Stretched clusters only
(stretched) AZ2 ToR-B AS + peer IP,"Per-AZ ToR-B peering for the second availability zone",Bring-up (if in scope),65021 / 10.23.18.1,,Network,Stretched clusters only
